symbol_id,tag_type,linkage_names,timeline_frames,bitmap_width,bitmap_height
1561,DefineBitsLossless2Tag,,,34,32
1562,DefineShapeTag,,,,
1563,DefineBitsLossless2Tag,,,34,32
1564,DefineShapeTag,,,,
1565,DefineBitsLossless2Tag,,,34,32
1566,DefineShapeTag,,,,
1567,DefineBitsLossless2Tag,,,34,32
1568,DefineShapeTag,,,,
1569,DefineBitsLossless2Tag,,,34,32
1570,DefineShapeTag,,,,
1571,DefineBitsLossless2Tag,,,34,32
1572,DefineShapeTag,,,,
1573,DefineBitsLossless2Tag,,,34,32
1574,DefineShapeTag,,,,
1575,DefineSpriteTag,tile_ripple_right,16,,
1576,DefineBitsLossless2Tag,,,34,32
1577,DefineShapeTag,,,,
1578,DefineBitsLossless2Tag,,,34,32
1579,DefineShapeTag,,,,
1580,DefineBitsLossless2Tag,,,34,32
1581,DefineShapeTag,,,,
1582,DefineBitsLossless2Tag,,,34,32
1583,DefineShapeTag,,,,
1584,DefineBitsLossless2Tag,,,34,32
1585,DefineShapeTag,,,,
1586,DefineBitsLossless2Tag,,,34,32
1587,DefineShapeTag,,,,
1588,DefineBitsLossless2Tag,,,34,32
1589,DefineShapeTag,,,,
1590,DefineBitsLossless2Tag,,,34,32
1591,DefineShapeTag,,,,
1592,DefineSpriteTag,tile_ripple_left,16,,
1593,DefineBitsLossless2Tag,,,32,32
1594,DefineShapeTag,,,,
1595,DefineBitsLossless2Tag,,,32,32
1596,DefineShapeTag,,,,
1597,DefineBitsLossless2Tag,,,32,32
1598,DefineShapeTag,,,,
1599,DefineBitsLossless2Tag,,,32,32
1600,DefineShapeTag,,,,
1601,DefineBitsLossless2Tag,,,32,32
1602,DefineShapeTag,,,,
1603,DefineBitsLossless2Tag,,,32,32
1604,DefineShapeTag,,,,
1605,DefineBitsLossless2Tag,,,32,32
1606,DefineShapeTag,,,,
1607,DefineBitsLossless2Tag,,,32,32
1608,DefineShapeTag,,,,
1609,DefineSpriteTag,tile_ripple_middle,16,,
1610,DefineShape3Tag,,,,
1611,DefineBitsLossless2Tag,,,64,64
1612,DefineShape2Tag,,,,
1613,DefineBitsLossless2Tag,,,64,64
1614,DefineShape2Tag,,,,
1615,DefineBitsLossless2Tag,,,64,64
1616,DefineShape2Tag,,,,
1617,DefineBitsLossless2Tag,,,64,64
1618,DefineShape2Tag,,,,
1619,DefineBitsLossless2Tag,,,64,64
1620,DefineShape2Tag,,,,
1621,DefineShape2Tag,,,,
1622,DefineSpriteTag,,18,,
1623,DefineShape3Tag,,,,
1624,DefineBitsLossless2Tag,,,64,64
1625,DefineShape2Tag,,,,
1626,DefineBitsLossless2Tag,,,64,64
1627,DefineShape2Tag,,,,
1628,DefineBitsLossless2Tag,,,64,64
1629,DefineShape2Tag,,,,
1630,DefineBitsLossless2Tag,,,64,64
1631,DefineShape2Tag,,,,
1632,DefineBitsLossless2Tag,,,64,64
1633,DefineShape2Tag,,,,
1634,DefineBitsLossless2Tag,,,64,64
1635,DefineShape2Tag,,,,
1636,DefineSpriteTag,,18,,
1637,DefineShape3Tag,,,,
1638,DefineBitsLossless2Tag,,,64,64
1639,DefineShape2Tag,,,,
1640,DefineBitsLossless2Tag,,,64,64
1641,DefineShape2Tag,,,,
1642,DefineBitsLossless2Tag,,,64,64
1643,DefineShape2Tag,,,,
1644,DefineBitsLossless2Tag,,,64,64
1645,DefineShape2Tag,,,,
1646,DefineBitsLossless2Tag,,,64,64
1647,DefineShape2Tag,,,,
1648,DefineBitsLossless2Tag,,,64,64
1649,DefineShape2Tag,,,,
1650,DefineSpriteTag,,18,,
1651,DefineSpriteTag,water,30,,
1652,DefineBitsLossless2Tag,,,34,39
1653,DefineShapeTag,,,,
1654,DefineBitsLossless2Tag,,,34,39
1655,DefineShapeTag,,,,
1656,DefineSpriteTag,,4,,
1657,DefineBitsLossless2Tag,,,34,39
1658,DefineShapeTag,,,,
1659,DefineSpriteTag,,1,,
1660,DefineBitsLossless2Tag,,,53,20
1661,DefineShapeTag,,,,
1662,DefineBitsLossless2Tag,,,53,20
1663,DefineShapeTag,,,,
1664,DefineBitsLossless2Tag,,,53,20
1665,DefineShapeTag,,,,
1666,DefineBitsLossless2Tag,,,53,20
1667,DefineShapeTag,,,,
1668,DefineBitsLossless2Tag,,,53,20
1669,DefineShapeTag,,,,
1670,DefineBitsLossless2Tag,,,53,20
1671,DefineShapeTag,,,,
1672,DefineBitsLossless2Tag,,,53,20
1673,DefineShapeTag,,,,
1674,DefineBitsLossless2Tag,,,53,20
1675,DefineShapeTag,,,,
1676,DefineSpriteTag,,18,,
1677,DefineBitsLossless2Tag,,,34,40
1678,DefineShapeTag,,,,
1679,DefineBitsLossless2Tag,,,34,40
1680,DefineShapeTag,,,,
1681,DefineBitsLossless2Tag,,,34,40
1682,DefineShapeTag,,,,
1683,DefineShapeTag,,,,
1684,DefineBitsLossless2Tag,,,26,26
1685,DefineShapeTag,,,,
1686,DefineBitsLossless2Tag,,,18,17
1687,DefineShapeTag,,,,
1688,DefineBitsLossless2Tag,,,18,17
1689,DefineShapeTag,,,,
1690,DefineBitsLossless2Tag,,,18,17
1691,DefineShapeTag,,,,
1692,DefineBitsLossless2Tag,,,18,17
1693,DefineShapeTag,,,,
1694,DefineBitsLossless2Tag,,,18,17
1695,DefineShapeTag,,,,
1696,DefineBitsLossless2Tag,,,18,17
1697,DefineShapeTag,,,,
1698,DefineBitsLossless2Tag,,,18,17
1699,DefineShapeTag,,,,
1700,DefineBitsLossless2Tag,,,18,17
1701,DefineShapeTag,,,,
1702,DefineBitsLossless2Tag,,,18,17
